requirement_id,source_id,source_version,source_requirement,applicability,applicability_approver,mandatory,severity,test_method,expected_result,actual_result,evidence_id,evidence,evidence_sha256,result,limitation,owner,hazard_id,design_item_id,test_id,deviation_id,residual_risk_id,stage_approval_id
MEMO-AA-001,AI-AUDIT,1.2.0,AA-1.1,applicable,,true,critical,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-002,AI-AUDIT,1.2.0,AA-1.2,applicable,,true,critical,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-003,AI-AUDIT,1.2.0,AA-1.3,applicable,,true,critical,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-004,AI-AUDIT,1.2.0,AA-1.4,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-005,AI-AUDIT,1.2.0,AA-1.5,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-006,AI-AUDIT,1.2.0,AA-1.6,applicable,,true,critical,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-007,AI-AUDIT,1.2.0,AA-2.1,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-008,AI-AUDIT,1.2.0,AA-2.2,applicable,,true,critical,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-009,AI-AUDIT,1.2.0,AA-2.3,applicable,,true,critical,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-010,AI-AUDIT,1.2.0,AA-2.4,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-011,AI-AUDIT,1.2.0,AA-2.5,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-012,AI-AUDIT,1.2.0,AA-3.1,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-013,AI-AUDIT,1.2.0,AA-3.2,applicable,,true,critical,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-014,AI-AUDIT,1.2.0,AA-3.3,applicable,,true,critical,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-015,AI-AUDIT,1.2.0,AA-3.4,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-016,AI-AUDIT,1.2.0,AA-3.5,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-017,AI-AUDIT,1.2.0,AA-4.1,applicable,,true,critical,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-018,AI-AUDIT,1.2.0,AA-4.2,applicable,,true,critical,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-019,AI-AUDIT,1.2.0,AA-4.3,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-020,AI-AUDIT,1.2.0,AA-4.4,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-021,AI-AUDIT,1.2.0,AA-4.5,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-022,AI-AUDIT,1.2.0,AA-5.1,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-023,AI-AUDIT,1.2.0,AA-5.2,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-024,AI-AUDIT,1.2.0,AA-5.3,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-025,AI-AUDIT,1.2.0,AA-5.4,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-026,AI-AUDIT,1.2.0,AA-5.5,applicable,,true,critical,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-027,AI-AUDIT,1.2.0,AA-5.6,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-028,AI-AUDIT,1.2.0,AA-6.1,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-029,AI-AUDIT,1.2.0,AA-6.2,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-030,AI-AUDIT,1.2.0,AA-6.3,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-031,AI-AUDIT,1.2.0,AA-6.4,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-032,AI-AUDIT,1.2.0,AA-7.1,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-033,AI-AUDIT,1.2.0,AA-7.2,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-034,AI-AUDIT,1.2.0,AA-7.3,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-035,AI-AUDIT,1.2.0,AA-7.4,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-036,AI-AUDIT,1.2.0,AA-7.5,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-037,AI-AUDIT,1.2.0,AA-8.1,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-038,AI-AUDIT,1.2.0,AA-8.2,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-039,AI-AUDIT,1.2.0,AA-8.3,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-040,AI-AUDIT,1.2.0,AA-8.4,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-041,AI-AUDIT,1.2.0,AA-8.5,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-042,AI-AUDIT,1.2.0,AA-8.6,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-043,AI-AUDIT,1.2.0,AA-8.7,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-044,AI-AUDIT,1.2.0,AA-8.8,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-045,AI-AUDIT,1.2.0,AA-9.1,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-046,AI-AUDIT,1.2.0,AA-9.2,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-047,AI-AUDIT,1.2.0,AA-9.3,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-048,AI-AUDIT,1.2.0,AA-9.4,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-049,AI-AUDIT,1.2.0,AA-9.5,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-050,AI-AUDIT,1.2.0,AA-9.6,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-051,AI-AUDIT,1.2.0,AA-9.7,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-052,AI-AUDIT,1.2.0,AA-9.8,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-AA-053,AI-AUDIT,1.2.0,AA-9.9,applicable,,true,important,planned requirement-level verification,,,,,,not-tested,v1.1 sample evidence was not collected at this control granularity,quality-owner,,,,,,
MEMO-Q-001,ISO-IEC-25010,2023,functional-suitability,applicable,,true,important,quality characteristic review,,,,,,not-tested,v1.2 characteristic-level evidence not recollected for this historical sample,quality-owner,,,,,,
MEMO-Q-002,ISO-IEC-25010,2023,performance-efficiency,applicable,,true,important,quality characteristic review,,,,,,not-tested,v1.2 characteristic-level evidence not recollected for this historical sample,quality-owner,,,,,,
MEMO-Q-003,ISO-IEC-25010,2023,compatibility,applicable,,true,important,quality characteristic review,,,,,,not-tested,v1.2 characteristic-level evidence not recollected for this historical sample,quality-owner,,,,,,
MEMO-Q-004,ISO-IEC-25010,2023,interaction-capability,applicable,,true,important,quality characteristic review,,,,,,not-tested,v1.2 characteristic-level evidence not recollected for this historical sample,quality-owner,,,,,,
MEMO-Q-005,ISO-IEC-25010,2023,reliability,applicable,,true,important,quality characteristic review,,,,,,not-tested,v1.2 characteristic-level evidence not recollected for this historical sample,quality-owner,,,,,,
MEMO-Q-006,ISO-IEC-25010,2023,security,applicable,,true,important,quality characteristic review,,,,,,not-tested,v1.2 characteristic-level evidence not recollected for this historical sample,quality-owner,,,,,,
MEMO-Q-007,ISO-IEC-25010,2023,maintainability,applicable,,true,important,quality characteristic review,,,,,,not-tested,v1.2 characteristic-level evidence not recollected for this historical sample,quality-owner,,,,,,
MEMO-Q-008,ISO-IEC-25010,2023,flexibility,applicable,,true,important,quality characteristic review,,,,,,not-tested,v1.2 characteristic-level evidence not recollected for this historical sample,quality-owner,,,,,,
MEMO-Q-009,ISO-IEC-25010,2023,safety,not-applicable,quality-owner,false,critical,quality characteristic review,,,,,,not-applicable,the sample has no safety function or control output,product-owner,,,,,,
MEMO-S-001,NIST-SP-800-218,1.1,PO.1.1,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-002,NIST-SP-800-218,1.1,PO.1.2,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
MEMO-S-003,NIST-SP-800-218,1.1,PO.1.3,applicable,,true,important,secure development practice review,,,,,,not-tested,v1.2 SSDF task evidence not recollected for this historical sample,security-owner,,,,,,
